CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
41172734,JUNIOR'S RESTAURANT,Manhattan,1515,BROADWAY,10036,2123022000,American,7/30/2021,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,12.0,A,7/30/2021,8/1/2021,Cycle Inspection / Initial Inspection,40.75762868,-73.98580348,105.0,3.0,11900.0,1024714.0,1010160036.0,MN17
50032887,PARADA 47 MEXICAN RESTAURANT,Manhattan,526,WEST   47 STREET,10036,2127573737,Mexican,7/30/2021,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Critical,12.0,A,7/30/2021,8/1/2021,Cycle Inspection / Initial Inspection,40.76326989,-73.99430358,104.0,3.0,12900.0,1026975.0,1010750045.0,MN15
50032887,PARADA 47 MEXICAN RESTAURANT,Manhattan,526,WEST   47 STREET,10036,2127573737,Mexican,7/30/2021,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,12.0,A,7/30/2021,8/1/2021,Cycle Inspection / Initial Inspection,40.76326989,-73.99430358,104.0,3.0,12900.0,1026975.0,1010750045.0,MN15
50032887,PARADA 47 MEXICAN RESTAURANT,Manhattan,526,WEST   47 STREET,10036,2127573737,Mexican,7/30/2021,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12.0,A,7/30/2021,8/1/2021,Cycle Inspection / Initial Inspection,40.76326989,-73.99430358,104.0,3.0,12900.0,1026975.0,1010750045.0,MN15
50032887,PARADA 47 MEXICAN RESTAURANT,Manhattan,526,WEST   47 STREET,10036,2127573737,Mexican,7/30/2021,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12.0,A,7/30/2021,8/1/2021,Cycle Inspection / Initial Inspection,40.76326989,-73.99430358,104.0,3.0,12900.0,1026975.0,1010750045.0,MN15
41172734,JUNIOR'S RESTAURANT,Manhattan,1515,BROADWAY,10036,2123022000,American,7/30/2021,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,12.0,A,7/30/2021,8/1/2021,Cycle Inspection / Initial Inspection,40.75762868,-73.98580348,105.0,3.0,11900.0,1024714.0,1010160036.0,MN17
41172734,JUNIOR'S RESTAURANT,Manhattan,1515,BROADWAY,10036,2123022000,American,7/30/2021,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,12.0,A,7/30/2021,8/1/2021,Cycle Inspection / Initial Inspection,40.75762868,-73.98580348,105.0,3.0,11900.0,1024714.0,1010160036.0,MN17
50095793,EAT THAI,Manhattan,654,9 AVENUE,10036,2126219112,Thai,1/21/2020,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,35.0,,,8/8/2021,Pre-permit (Operational) / Initial Inspection,40.76074999,-73.99092145,104.0,3.0,12100.0,1025037.0,1010360163.0,MN15
50095793,EAT THAI,Manhattan,654,9 AVENUE,10036,2126219112,Thai,1/21/2020,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,35.0,,,8/8/2021,Pre-permit (Operational) / Initial Inspection,40.76074999,-73.99092145,104.0,3.0,12100.0,1025037.0,1010360163.0,MN15
50095793,EAT THAI,Manhattan,654,9 AVENUE,10036,2126219112,Thai,1/21/2020,Violations were cited in the following area(s).,22C,"Bulb not shielded or shatterproof, in areas where there is extreme heat, temperature changes, or where accidental contact may occur.",Not Critical,,,,8/8/2021,Administrative Miscellaneous / Initial Inspection,40.76074999,-73.99092145,104.0,3.0,12100.0,1025037.0,1010360163.0,MN15
50095793,EAT THAI,Manhattan,654,9 AVENUE,10036,2126219112,Thai,1/21/2020,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,35.0,,,8/8/2021,Pre-permit (Operational) / Initial Inspection,40.76074999,-73.99092145,104.0,3.0,12100.0,1025037.0,1010360163.0,MN15
50095793,EAT THAI,Manhattan,654,9 AVENUE,10036,2126219112,Thai,1/21/2020,Violations were cited in the following area(s).,10H,Proper sanitization not provided for utensil ware washing operation.,Not Critical,35.0,,,8/8/2021,Pre-permit (Operational) / Initial Inspection,40.76074999,-73.99092145,104.0,3.0,12100.0,1025037.0,1010360163.0,MN15
50095793,EAT THAI,Manhattan,654,9 AVENUE,10036,2126219112,Thai,1/21/2020,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,35.0,,,8/8/2021,Pre-permit (Operational) / Initial Inspection,40.76074999,-73.99092145,104.0,3.0,12100.0,1025037.0,1010360163.0,MN15
50095793,EAT THAI,Manhattan,654,9 AVENUE,10036,2126219112,Thai,1/21/2020,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,35.0,,,8/8/2021,Pre-permit (Operational) / Initial Inspection,40.76074999,-73.99092145,104.0,3.0,12100.0,1025037.0,1010360163.0,MN15
50095793,EAT THAI,Manhattan,654,9 AVENUE,10036,2126219112,Thai,1/21/2020,Violations were cited in the following area(s).,10I,"Single service item reused, improperly stored, dispensed; not used when required.",Not Critical,35.0,,,8/8/2021,Pre-permit (Operational) / Initial Inspection,40.76074999,-73.99092145,104.0,3.0,12100.0,1025037.0,1010360163.0,MN15
50095793,EAT THAI,Manhattan,654,9 AVENUE,10036,2126219112,Thai,1/21/2020,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical,35.0,,,8/8/2021,Pre-permit (Operational) / Initial Inspection,40.76074999,-73.99092145,104.0,3.0,12100.0,1025037.0,1010360163.0,MN15
50095793,EAT THAI,Manhattan,654,9 AVENUE,10036,2126219112,Thai,1/21/2020,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical,35.0,,,8/8/2021,Pre-permit (Operational) / Initial Inspection,40.76074999,-73.99092145,104.0,3.0,12100.0,1025037.0,1010360163.0,MN15
50098429,CHARM THAI CORP,Manhattan,1346,AMSTERDAM AVENUE,10027,6467264548,Thai,1/23/2020,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,10.0,A,1/23/2020,8/8/2021,Pre-permit (Operational) / Re-inspection,40.81374033,-73.9560088,109.0,7.0,21900.0,1059700.0,1019820024.0,MN06
50098429,CHARM THAI CORP,Manhattan,1346,AMSTERDAM AVENUE,10027,6467264548,Thai,1/23/2020,Violations were cited in the following area(s).,09B,Thawing procedures improper.,Not Critical,10.0,A,1/23/2020,8/8/2021,Pre-permit (Operational) / Re-inspection,40.81374033,-73.9560088,109.0,7.0,21900.0,1059700.0,1019820024.0,MN06
50098429,CHARM THAI CORP,Manhattan,1346,AMSTERDAM AVENUE,10027,6467264548,Thai,1/23/2020,Violations were cited in the following area(s).,06B,"Tobacco use, eating, or drinking from open container in food preparation, food storage or dishwashing area observed.",Critical,10.0,A,1/23/2020,8/8/2021,Pre-permit (Operational) / Re-inspection,40.81374033,-73.9560088,109.0,7.0,21900.0,1059700.0,1019820024.0,MN06
50095793,EAT THAI,Manhattan,654,9 AVENUE,10036,2126219112,Thai,3/10/2020,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,25.0,B,3/10/2020,8/8/2021,Pre-permit (Operational) / Re-inspection,40.76074999,-73.99092145,104.0,3.0,12100.0,1025037.0,1010360163.0,MN15
50095793,EAT THAI,Manhattan,654,9 AVENUE,10036,2126219112,Thai,3/10/2020,Violations were cited in the following area(s).,10H,Proper sanitization not provided for utensil ware washing operation.,Not Critical,25.0,B,3/10/2020,8/8/2021,Pre-permit (Operational) / Re-inspection,40.76074999,-73.99092145,104.0,3.0,12100.0,1025037.0,1010360163.0,MN15
50095793,EAT THAI,Manhattan,654,9 AVENUE,10036,2126219112,Thai,3/10/2020,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,25.0,B,3/10/2020,8/8/2021,Pre-permit (Operational) / Re-inspection,40.76074999,-73.99092145,104.0,3.0,12100.0,1025037.0,1010360163.0,MN15
50095793,EAT THAI,Manhattan,654,9 AVENUE,10036,2126219112,Thai,3/10/2020,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,25.0,B,3/10/2020,8/8/2021,Pre-permit (Operational) / Re-inspection,40.76074999,-73.99092145,104.0,3.0,12100.0,1025037.0,1010360163.0,MN15
50095793,EAT THAI,Manhattan,654,9 AVENUE,10036,2126219112,Thai,3/10/2020,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Critical,25.0,B,3/10/2020,8/8/2021,Pre-permit (Operational) / Re-inspection,40.76074999,-73.99092145,104.0,3.0,12100.0,1025037.0,1010360163.0,MN15
50095793,EAT THAI,Manhattan,654,9 AVENUE,10036,2126219112,Thai,3/10/2020,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,25.0,B,3/10/2020,8/8/2021,Pre-permit (Operational) / Re-inspection,40.76074999,-73.99092145,104.0,3.0,12100.0,1025037.0,1010360163.0,MN15
50103722,ONCE MORE THAI,Manhattan,6,CLINTON STREET,10002,2122288858,Thai,3/16/2020,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,13.0,A,3/16/2020,8/8/2021,Pre-permit (Operational) / Initial Inspection,40.72110387,-73.98400388,103.0,2.0,2201.0,1004264.0,1003500050.0,MN28
50103722,ONCE MORE THAI,Manhattan,6,CLINTON STREET,10002,2122288858,Thai,3/16/2020,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,13.0,A,3/16/2020,8/8/2021,Pre-permit (Operational) / Initial Inspection,40.72110387,-73.98400388,103.0,2.0,2201.0,1004264.0,1003500050.0,MN28
50103722,ONCE MORE THAI,Manhattan,6,CLINTON STREET,10002,2122288858,Thai,3/16/2020,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,13.0,A,3/16/2020,8/8/2021,Pre-permit (Operational) / Initial Inspection,40.72110387,-73.98400388,103.0,2.0,2201.0,1004264.0,1003500050.0,MN28
